source_id,source_type,publisher_or_body,date_or_as_of,what_it_supports,url,reliability_notes
S01,Official zoning code,Jackson County / Municode,Current,LI GI HI district and use table,https://library.municode.com/ga/jackson_county/codes/code_of_ordinances?nodeId=PTIICOOR_APXAUNDECO_ART2ZODI_DIVIOFZOMA_S203AMOFZOMA,Primary legal source; confirm with staff for a live parcel
S02,Official planning page,Jackson County,Current,County planning authority and application types,https://jacksoncountygov.com/298/Planning-Zoning,Primary administrative source
S03,Official mapping page,Jackson County,2026-02-16 zoning map,Current zoning and FLUM map access plus verification caveat,https://www.jacksoncountygov.com/270/Available-Maps,Primary mapping source but map is informational rather than legal verification
S04,Official commission minutes,Jackson County,2022-02-21,Wayne Poultry approvals votes and speakers,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_02212022-465,Primary outcome record
S05,Official planning packet,Jackson County,2022-02-24,Wayne Poultry case detail counsel and Planning Commission action,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/ArchivedAgenda/_02242022-253?packet=true,Primary hearing record
S06,Official commission agenda,Jackson County,2022-02-21,Whoville and Ingram staff / Planning Commission recommendations,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Agenda/_02212022-465,Primary agenda record
S07,DRI final report,NEGRC,2025-04-14,RaceTrac diesel facility scope and DRI status,https://negrc.org/uploads/sites/4/2025/04/DRI4420.RacetracExtendedDieselOffer.Jefferson.FinalReport.pdf,Primary regional review record; not final local permit decision
S08,DRI final report,NEGRC,2022-02-08,Jackson Farms scope compatibility and constraints,https://negrc.org/uploads/sites/4/2022/02/DRI3553.JacksonFarmsIndustrialPark.Pendergrass.FinalReport.pdf,Primary regional review record; not final local decision
S09,DRI final report,NEGRC,2024-10-03,East Jackson Quarry incompatibility and mitigation issues,https://negrc.org/uploads/sites/4/2024/10/DRI4277.FinalReport.pdf,Primary regional review record; not final local decision
S10,Official city agenda notice,City of Jefferson,2025-11-03,Rush Truck Centers LI condition modification and applicant team,https://www.jeffersonga.gov/CivicAlerts.aspx?AID=77,Primary planning hearing notice; final vote must be separately confirmed
S11,Developer project page,Trammell Crow Company,Current,Jackson 85 North delivery scale timeline and team contacts,http://www.trammellcrow.com/projects/jackson-85-north,Primary developer source
S12,Industry publication,REBusinessOnline,2025-02-03,Jackson 85 North joint venture phase two contractor and marketing team,https://rebusinessonline.com/category/georgia/page/29/,Secondary industry source
S13,Industry publication,Bisnow,2026-03-17,Project Orchid site scale developer and status,http://www.bisnow.com/news/atlanta/industrial/pattillo-aiming-for-metal-manufacturing-plant-in-jackson-county-133702,Secondary reporting; active project requires municipal-record follow-up
S14,Official county board page,Jackson County,Current,Current county commissioners,https://jacksoncountygov.com/373/Board-of-Commissioners,Primary current-roster source
S15,Official city council page,City of Jefferson,Current,Current Jefferson council roster and meeting cadence,https://www.jeffersonga.gov/286/City-Council,Primary current-roster source
S16,Official city page,City of Pendergrass,Current,Current Pendergrass mayor and council,https://cityofpendergrass.net/mayor-and-council/,Primary current-roster source
S17,Official city page,City of Commerce,Current,Current Commerce elected officials,https://www.commercega.gov/government/elected-officials,Primary current-roster source
S18,Official city directory,City of Hoschton,Current,Current Hoschton mayor and council,https://www.cityofhoschton.net/directory-listing/mariya-bentz,Primary current-roster source
S19,Official town leadership page,Town of Braselton,Current,Town council roster and governance description,https://www.braseltonmayor.org/town-council,Official mayor site; verify against town clerk before relying on a vote roster
S20,State DRI guidance,Georgia DCA,Current,DRI process and host-government authority,https://dca.georgia.gov/developments-regional-impact-dri-faqs,Primary state guidance
S21,State DRI rules,Georgia Secretary of State,Current,Industrial DRI thresholds,https://rules.sos.ga.gov/gac/110-12-3,Primary rule source
S22,Official city news correction,City of Jefferson,2026-03-23,Project Orchid water-use correction and public-resource concern,https://www.jeffersonga.gov/m/newsflash/Home/Detail/93,Primary municipal clarification; does not verify final zoning action
S23,Official meeting portal,City of Jefferson / IQM2,Current,Jefferson agenda and minute system for council and planning records,https://jeffersoncityga.iqm2.com/Citizens/Default.aspx,Primary municipal meeting portal; case-specific records require meeting ID / packet retrieval
S24,Official commission minutes,Jackson County,2022-05-16,Tom White Road / East Group Properties A-2 to LI approval and conditions,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_05162022-480,Primary outcome record; separate from Valentine Business Center DRI
S25,DRI final report,NEGRC,2026-07-13,Choice Equipment Company Airport Road requested A-2 to GI and plan-map changes,https://negrc.org/planning-government-services/documents-resources/,Primary regional review record; not final local decision
S26,DRI final report,NEGRC,2022-06-28,Valentine Business Center A-2 to GI request scale and Bill Wright Road constraints,https://negrc.org/planning-government-services/documents-resources/,Primary regional review record; not final local decision
S27,Official commission minutes,Jackson County,2022-07-18,Valentine Business Center RZ-22-0122 and RZ-22-0123 A-2 to GI approval and conditions,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_07182022-492,Primary local entitlement record; closes county final-action gap for two A-2 parcels
S28,Official commission minutes,Jackson County,2022-03-21,Whoville Partners MA-21-0088 withdrawal without prejudice,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_03212022-470,Primary local outcome record; closes tabled/final-disposition gap
S29,Official planning agenda,City of Jefferson,2025-10-20,Rush Truck Centers R-25-J05 and CU-25-J06 November Planning Commission agenda,https://www.jeffersonga.gov/CivicAlerts.aspx?AID=77,Primary agenda-stage record; does not verify final City Council action
S30,Official meeting packet,City of Jefferson / IQM2,2026-06-01,Project Orchid R-26-J03 / CU-26-J02 / V-26-J06 staff packet and presentation materials,https://jeffersoncityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1717,Primary local packet record; does not verify final City Council action
