finding_id,project_or_policy,applicant_or_group,use_bucket,requested_entitlements,site,zone_or_land_use,scale,outcome,outcome_date,decision_body,approval_risk_read,source_url,confidence,next_gap
JV-FIND-001,ZCA21007 Truck Intensive Use Ordinance,City of Jurupa Valley,Truck-intensive / IOS policy,Zoning Code Amendment,Citywide study areas,"I-P; M-SC; M-M; M-H",Not applicable,"Approved; truck-intensive uses removed from multiple zones and allowed only in Manufacturing Heavy with CUP",2021-12-02,City Council,High discount to generic truck-storage or IOS value outside M-H,"https://www.jurupavalley.org/CivicSend/ViewMessage/message/159310",High,"Pull Ordinance 2021-29 and current codified permitted-use table."
JV-FIND-002,BRE Space Center Mira Loma Logistics Project,BRE Space Center Mira Loma LLC,Logistics warehouse,SDP20004 / TPM37872 / EIR,"3401 Space Center Court; east of Etiwanda Avenue; north of Iberia Street; APN 156-150-069",Industrial site / existing industrial context,"Two new industrial speculative buildings totaling 1,939,312 sf; retained 172,800 sf industrial building; 105.58 acres","Approved; Planning Commission certified EIR and approved SDP and TPM",2021-12-08,Planning Commission,"Large logistics can be approved, but through EIR, SDP, TPM, mitigation, and site-specific industrial context","https://ceqanet.lci.ca.gov/2020100565/6",High,"Pull PC minutes, vote, conditions, and whether later tenant/use approvals were required."
JV-FIND-003,Rubidoux Commerce Park,Proficiency Rubidoux LLC,Warehouse / distribution / logistics,GPA / CZ21003 / DA19001 / TPM37677 / SDP19008 / EIR,"Montana Avenue, 25th Street, 28th Street area","Vacant land; M-M and M-SC; Light Industrial GP","Approx. 1.18 million sf industrial park with five buildings on 80.8 acres","Approved; Council certified EIR Dec. 21 2023 and adopted ordinances Jan. 18 2024",2024-01-18,City Council,"Large logistics can win, but requires full discretionary package, EIR, statement of overriding considerations, DA, and zone change","https://ceqanet.lci.ca.gov/2020110449/6",High,"Pull Council minutes, vote split, DA terms, and conditions."
JV-FIND-004,Agua Mansa Commerce Park cold storage amendment,Not captured,Cold storage / warehouse distribution,Specific Plan Amendment / SDP path,"Agua Mansa Commerce Park; southeast corner of Rubidoux Boulevard and Agua Mansa Road",Industrial Park District,"Cold storage use added; project context includes major industrial/cold-storage buildings","Approved by Council per March 2022 City update",2022-03-18,City Council,"Cold storage appears feasible inside an established specific plan with approved SDP path; not evidence for standalone IOS","https://www.jurupavalley.org/CivicSend/ViewMessage/message/166265",Medium,"Pull MA21179 staff report, ordinance, allowed-area exhibit, and applicant."
JV-FIND-005,Troy Court Industrial Project,Davis JCR Troy Court Industrial Owner LLC,Speculative industrial buildings,Site Development Permit / CEQA Director hearing,"4725, 4790, and 4795 Troy Court; north of Van Buren Boulevard; south of Galena Street; west of Felspar Street","Business Park GP; M-SC zoning","Three speculative industrial buildings totaling 191,196 sf on 10.43 acres","Approved by Community Development Director with modified conditions",2021-11-30,Community Development Director,"Industrial buildings can be approved administratively/director-level where site is already industrially planned, but specific use still requires separate entitlement","https://www.jurupavalley.org/CivicSend/ViewMessage/message/159310",High,"Pull Director hearing report and conditions; confirm if any tenant use was later approved."
JV-FIND-006,General Drive Industrial Park,Not captured,Industrial park,SDP / revised permit / later extension,"General Drive and south side of Clay Street; APNs 163-400-010, -012, -013, -014, -016, -017",Not captured,"Five industrial buildings on 26 acres totaling 328,056 sf","Entitlements approved; revised permit approved March 1 2022; 2026 agenda noted extension request for SDP23114",2026-06-02,Community Development Director,"Approved industrial park, but 2026 extension suggests entitlement timing/buildout risk","https://storymaps.arcgis.com/stories/4c4f266772404927aeabe183e79e5779",Medium,"Pull MA17250 and MA26109 staff reports, applicant, conditions, and extension outcome."
JV-FIND-007,Riverside Drive equipment sales/rental/storage building,Not captured,Heavy equipment sales / rental / storage,SDP22038 extension,"Riverside Drive west of Wineville Avenue; three APNs",Not captured,"30,616 sf equipment sales, rental, and storage building","2026 Community Development Director agenda reportedly included two-year extension request and recommendation for approval",2026-06-02,Community Development Director,"Closest heavy-equipment/storage target beyond generic industrial; outcome needs official packet extraction","https://mytown.theboringparts.com/city/jurupavalley.org/",Low,"Replace secondary source with official Community Development Director agenda/staff report."
JV-FIND-008,I-15 RV and Self-Storage Project / MA20269,Steve Galvez / Jurupa Valley 18 LP,RV storage / self-storage,GPA21001 / CZ21001 / TPM39001 / CUP21001 / SDP21002,"Interstate 15 and 68th Street; APNs 152-060-006, -007, -009, 152-020-010, 152-070-008","OS-R / W-1 to CR / C-1-C-P requested","136,035 sf self-storage; 670 sf office; 77-79 RV spaces; 14.27-acre development area within 86.77-acre site","Denied; Council agenda carried resolution denying GPA, CZ, TPM, CUP, and SDP",2026-02-19,City Council,"Major 2026 storage denial; strong warning against treating RV/self-storage/yard storage as easy optionality","https://ceqanet.lci.ca.gov/2025030380",High,"Pull denial resolution findings and vote."
JV-FIND-009,Executive Coach Builders / Commercial Bus Manufacturing,Fausto Reyes / Lanarq Inc.,Industrial manufacturing,CUP24013 / Class 32 NOE,"5467 28th Street / 5456 28th Street; APN 178-230-002","Consistent GP/zoning per CEQA NOE","86,000 sf manufacturing building with 2,000 sf office on 4.68 acres; 109 standard parking spaces","Approved; CEQA NOE filed Feb. 27 2026 and cached minutes report PC approval 5-0",2026-02-25,Planning Commission,"Manufacturing is feasible; this is not IOS/truck storage, and Class 32 fit was important","https://ceqanet.lci.ca.gov/2026021090",High,"Pull official PC minutes and CUP conditions."
JV-FIND-010,Bus Dispatch Facility / MA25123 / ZCA25006,Leslie Starks,Fleet / bus dispatch,ZCA25006 to add bus dispatch as permitted use with CUP in M-SC,"M-SC zone citywide",M-SC,"Use type and development standards, parcel not captured","Pending/continued; appeared on May 27, June 10, and July 8 2026 PC agendas",2026-07-08,Planning Commission,"Fleet dispatch not currently simple; City is creating a narrow CUP pathway through code amendment and standards","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_07082026-961?html=true",High,"Pull final PC recommendation and Council adoption."
JV-FIND-011,Metal Shipping Container Regulations / ZCA26004,City of Jurupa Valley,Accessory container storage,Zoning Code Amendment,"Citywide",All districts,"Accessory container storage rules","Pending/PC recommendation stage as of July 8 2026 agenda",2026-07-08,Planning Commission,"Containerized storage is regulated; accessory storage revenue should be tested against current code","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_07082026-961?html=true",High,"Pull final adopted Section 9.240.510 language."
