case_id,case_name,jurisdiction,submarket_or_corridor,record_month,request_or_use,lead_group,scale,entitlement_stage,verified_outcome,why_it_matters,headline_risk,source_url
JC-2026-ORCHID,Project Orchid / McClure Industrial Park,City of Jefferson,I-85 / Raford Wilson Road / airport,March-July 2026,Metal manufacturing plant LI condition modification / CUP / variance / DRI,Pattillo Industrial Real Estate / Stone Mountain Industrial Park Inc.,504440 SF initial with potential expansion to roughly 1M SF on 157.99 acres,DRI final report plus Jefferson PC staff packet,Jefferson PC staff reports and presentation packet found; final council vote still open,Fresh large-manufacturing signal inside existing McClure Industrial Park; city issued official water-use correction clarifying 6M gallons per month not per day,Water allocation no-new-traffic-study position buffer reduction impervious-surface increase parking variance stream/watershed impacts and community scrutiny,https://jeffersoncityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1717
JC-2026-CHOICE,Choice Equipment Company - Airport Road,Unincorporated Jackson County,Airport Road / Jefferson water-sewer service area,July 2026,A-2 to GI rezoning plus Character Area to Urban and FLUM to Industrial,Choice Equipment Company,860600 SF industrial / maintenance space on 109 acres,DRI final report and county local action to verify,DRI complete / county final action still open,Newest county industrial conversion signal; DRI verifies requested GI and plan-map changes,Airport Road truck routing utility lifecycle cost stream buffers and local conditions,https://negrc.org/planning-government-services/documents-resources/
JC-2025-RUSH,Rush Truck Centers condition modification and truck service,City of Jefferson,I-85 / Hog Mountain Road / Valentine Industrial Parkway,November 2025,Modify conditional LI zoning and allow truck service,Rush Truck Centers of Georgia Inc. / Eberly and Associates,14.63 acres,Official Jefferson PC agenda plus Council voting packet staff report and ordinance attachment,Council voting packet found with staff/PC approval recommendations and draft R-25-J05 conditions; signed/final vote still open,Truck-oriented use is being advanced in an existing conditional LI location south of I-85,Building cap 79279 SF / 13 pct site coverage stormwater prerequisite two Hog Mountain curb cuts and legacy-condition reset,https://jeffersoncityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1689
JC-2025-RACETRAC,RaceTrac Extended Diesel Offer,City of Jefferson,Hog Mountain Road and US 129 near I-85,April 2025,Travel center with truck diesel fueling and scale,RaceTrac Inc.,8100 SF travel center plus 8 truck diesel pumps on 28 acres,DRI triggered by permit request,DRI complete / host permit disposition still open,Truck-support services near existing interstate commercial and industrial infrastructure remain active,Fuel-spill controls air emissions underground tanks and circulation,https://negrc.org/uploads/sites/4/2025/04/DRI4420.RacetracExtendedDieselOffer.Jefferson.FinalReport.pdf
JC-2024-J85N,Jackson 85 North Business Park,City of Pendergrass,I-85 / Pendergrass,September 2024,Speculative industrial warehouses,Trammell Crow Company / CBRE Investment Management,1556350 SF phase one on 215 acres with phase two planned,Construction and delivery / municipal entitlement history to verify,Phase one delivery verified by developer and market sources; local entitlement chain still open,Clear proof of institutional-grade warehouse delivery inside the I-85 node,Leasing absorption phase-two timing municipal records and downstream traffic,http://www.trammellcrow.com/projects/jackson-85-north
JC-2024-PENDERGRASS-ASSEMBLAGE,Pendergrass Assemblage,City of Pendergrass / unincorporated edge,Near Pendergrass / Brooks Road,August 2024,Residential annexation and rezoning signal included as non-industrial context,Stolz Partners LLC,560 residential units on 258 acres,DRI final report / local action to verify,DRI complete / non-industrial context item,Useful contrast case for annexation pressure around Pendergrass but not an industrial approval comp,Do not treat as industrial precedent; relevance is growth context and annexation path,https://negrc.org/planning-government-services/documents-resources/
JC-2024-HWY124,Hwy 124 / Maddox Road trucking drop lot,Unincorporated Jackson County,Hwy 124 / Maddox-Tom White Road,August 2024,A-2 to HRC for convenience store trucking drop lot and baseball training facility,Applicant not identified in prior packet,3000-4000 SF highway commercial on 15.58 acres plus truck drop lot,DRI final report and county final action to verify,Adverse DRI plan-compatibility signal / final local action still open,Shows truck/drop-lot use outside a supportive plan context can create a high-friction entitlement profile,Residential FLUM conflict home displacement truck intensity and local-road fit,https://negrc.org/planning-government-services/documents-resources/
JC-2024-QUARRY,East Jackson Quarry,Unincorporated Jackson County,East Jackson / US 441 / North Oconee River context,October 2024,Heavy industrial quarry,Applicant not identified in prior packet,877 acres,DRI final report and county final action to verify,Adverse DRI compatibility signal / final local action still open,Negative compatibility finding illustrates the outer boundary of county industrial tolerance outside planned industrial character areas,Heavy-truck traffic noise dust runoff water resources groundwater recharge protected river overlay and plan conflict,https://negrc.org/uploads/sites/4/2024/10/DRI4277.FinalReport.pdf
JC-2024-COMMERCE-TAYLOR,Taylor & Mathis Commerce distribution center / truck terminal,City of Commerce,Commerce / I-85 / US 441 / Ridgeway Church Road / Banks Crossing edge,October-November 2024,Annexation rezoning to M-1 and conditional use for distribution center with truck terminals and warehouse/storage,Taylor & Mathis Inc. c/o Mahaffey Pickens Tucker LLP; Anthony L. Wood Jr. and Benjamin A. Wood owners,"121.373-acre project total; 91.350 acres annexed; 115.594 acres in City after approval; 5.779 acres left in county undeveloped",Planning Commission recommendation plus City Council final action,Final local approval verified unanimously by Commerce City Council on Nov. 18 2024,Important Commerce municipal industrial comp missed by the initial county/Jefferson/Pendergrass-heavy pass; verifies City M-1 path for distribution/truck terminal use,Conditions include vegetative buffer along Steve Reynolds Parkway entries excluded parcel-combination requirement and final plat conditions; remaining county land across creek left undeveloped,https://commercega.granicus.com/MinutesViewer.php?view_id=1&clip_id=409&doc_id=7aa825a7-6685-11f0-b7f5-005056a89546
JC-2023-PETERBILT,7-Eleven / Peterbilt dealership,Unincorporated Jackson County,Holly Springs Road / Bill Wright Road / I-85 truck-support area,April 2023,HRC rezoning plus truck-stop special use,Axis Hutton,15.8 acres with convenience store Peterbilt facility diesel fueling truck scale and parking,DRI final report and county final action to verify,DRI complete / local disposition still open,Core truck-service precedent candidate near I-85 and Bill Wright Road,Fuel/spill controls curb cuts truck circulation special-use conditions and original zoning confirmation,https://negrc.org/planning-government-services/documents-resources/
JC-2022-JACKSONFARMS,Jackson Farms Industrial Park,City of Pendergrass / unincorporated annexation path,US 129 with I-85 connectivity,February 2022,Annexation and rezoning for industrial warehouse park,PDC Atlanta LPIV LLC,1700660 SF across 4 buildings on 262 acres,DRI review and municipal annexation/rezoning path,DRI complete / local Pendergrass disposition still open,Industrial designation plus water sewer arterial access and a buffer to Country Living areas produced a favorable compatibility finding,Noise light hazards wetlands grading annexation sequence and riparian buffers,https://negrc.org/uploads/sites/4/2022/02/DRI3553.JacksonFarmsIndustrialPark.Pendergrass.FinalReport.pdf
