case_id,priority,meeting_date,body,case_name,decision_or_topic,applicant,site,video_url,known_agenda_url,agenda_item,item_pattern,buffer_before_seconds,buffer_after_seconds
JV001,1,2025-07-17,City Council,FC Pallets,Denial of pallet yard legalization/expansion,Francisco Cortez,4247 Campbell Street,https://jurupavalleyca.new.swagit.com/videos/350142,https://jurupavalleyca.new.swagit.com/videos/350142,15.G,FC PALLETS|MA21108|PALLET YARD,10,10
JV002,1,2026-02-19,City Council,I-15 RV Self Storage Denial,Denial resolution for I-15 RV/self-storage,Steve Galvez,Southeast of I-15 and 68th Street,https://jurupavalleyca.new.swagit.com/videos/375852,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02192026-926?html=true,Consent calendar denial resolution,13. CONSENT CALENDAR,10,10
JV003,1,2026-02-05,City Council,I-15 RV Self Storage Hearing,Initial public hearing package for RV/self-storage,Steve Galvez,Southeast of I-15 and 68th Street,https://jurupavalleyca.new.swagit.com/videos/374360,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02052026-918?html=true,16.A,MA20269|RECREATIONAL VEHICLE|SELF-STORAGE,10,10
JV004,1,2026-08-06,City Council,Bus Dispatch Facility,First reading for private bus dispatch in M-SC,Leslie Starks,Jurupa Valley M-SC site,https://jurupavalleyca.new.swagit.com/videos/395525,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_08062026-964?html=true,ZCA25006 / Ordinance 2026-08,BUS DISPATCH|ZCA25006|MA25123,10,10
JV005,1,2026-08-06,City Council,Freight Analysis Plan,Citywide Freight Analysis Plan and Mobility Element update,City / Fehr & Peers,Citywide,https://jurupavalleyca.new.swagit.com/videos/395525,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_08062026-964?html=true,Consent calendar freight agreement,16. CONSENT CALENDAR,10,10
JV006,2,2021-12-02,City Council,Truck Intensive Use Ordinance Final,Final policy action narrowing truck-intensive uses,City of Jurupa Valley,Citywide,https://jurupavalleyca.new.swagit.com/videos/148916,https://www.jurupavalley.org/CivicSend/ViewMessage/message/159310,ZCA21007,TRUCK INTENSIVE|ZCA21007,10,10
JV007,2,2021-10-07,City Council,Truck Intensive Use Study Session,Policy study session on truck-intensive uses,City of Jurupa Valley,Citywide,https://jurupavalleyca.new.swagit.com/videos/141320,https://www.jurupavalley.org/CivicSend/ViewMessage/message/153778,2.A,TRUCK INTENSIVE|NORTH PYRITE,10,10
JV008,2,2021-01-21,City Council,Truck Intensive Use Initiation,Initiation of truck-intensive zoning work,City of Jurupa Valley,Citywide,https://jurupavalleyca.new.swagit.com/videos/111956,https://www.jurupavalley.org/CivicSend/ViewMessage/message/153778,17.D,TRUCK INTENSIVE INDUSTRIAL|EXCESSIVE TRUCK TRAFFIC,10,10
JV009,2,2024-01-18,City Council,Rubidoux Commerce Park,Final large logistics approval,Proficiency Rubidoux LLC,Rubidoux area,https://jurupavalleyca.new.swagit.com/videos/295268,https://ceqanet.lci.ca.gov/2020110449/6,Rubidoux Commerce Park,13. PUBLIC HEARING,10,10
JV010,2,2022-01-20,City Council,Agua Mansa Commerce Park,Industrial/logistics approval path with public hearing,Not captured,Southeast corner of Rubidoux Boulevard and El Rivino Road,https://jurupavalleyca.new.swagit.com/videos/153257,https://jurupavalleyca.new.swagit.com/videos/153257/agenda,Agua Mansa Commerce Park,AGUA MANSA|AQUA MANSA,10,10
JV011,3,2023-09-21,City Council,The District at Jurupa Valley,Specific plan approval with logistics overlay,Not captured,Jurupa Valley,https://jurupavalleyca.new.swagit.com/videos/272306,https://ceqanet.lci.ca.gov/2022040044/5,The District Specific Plan,DISTRICT AT JURUPA|SPECIFIC PLAN,10,10
JV012,3,2024-09-05,City Council,Rio Vista Specific Plan,Specific plan approval with industrial capacity,Richland Communities,Rio Vista area,https://jurupavalleyca.new.swagit.com/videos/314328,https://ceqanet.lci.ca.gov/2018121005/4,Rio Vista Specific Plan,15. PUBLIC HEARINGS,10,10
