source_id,title,url,publisher,source_type,date_checked,key_use,local_file,status
S-001,"Reno GIS Zoning Designations MapServer, layer 0","https://citymaps.reno.gov/server/rest/services/Planning/Zoning_Designations/MapServer/0","City of Reno","Official GIS","2026-09-15","Parcel ID, address, zoning, overlay, acreage","sources/reno_zoning_query_164-352-27.json","Verified"
S-002,"Reno Master Plan Land Use GIS layer","https://citymaps.reno.gov/server/rest/services/Accela/Reno_Permits/MapServer/17","City of Reno","Official GIS","2026-09-15","Master Plan / future land-use designation","sources/reno_master_plan_query_164-352-27.json","Verified"
S-003,"Reno Wards GIS query","https://services5.arcgis.com/RjM4BJrv5ZkqP4XC/ArcGIS/rest/services/Jurisdictions_Hub/FeatureServer/2","City of Reno / ArcGIS","Official GIS","2026-09-15","Ward and Councilmember","sources/reno_ward_query_3705_barron_way.json","Verified"
S-004,"Data Center Text Amendment and Moratorium","https://reno.gov/business-development/development-services/initiatives-and-updates.php","City of Reno","Official web page","2026-09-15","Moratorium, CUP intake bar, Title 18 amendment process","","Verified"
S-005,"Reno Land Development Code Chapter 18.03 Use Regulations","https://library.municode.com/nv/reno/codes/land_development_code?nodeId=CH18.03USRE_ART3UECST_18.03.304COUS&showChanges=true","City of Reno / Municode","Municipal code","2026-09-15","Data-center use-table and standards","","Verified via public code text"
S-006,"Reno PrimeGov public meeting portal","https://reno.primegov.com/public/portal","City of Reno","Official meeting portal","2026-09-15","Meeting-intelligence search and archive routing","","Checked"
S-007,"Reno Land Development Projects","https://www.reno.gov/business-development/development-services/planning-engineering-applications/land-development-projects.php","City of Reno","Official development-services page","2026-09-15","Development-project public-comment workflow and project search trail","","Checked"
S-008,"Truckee Meadows Data Center Policy Consortium","https://datacenter.policyconsortium.org/","Truckee Meadows Data Center Policy Consortium","Policy / public engagement","2026-09-15","June 1 2026 moratorium meeting and public-pressure themes","","Checked"
S-009,"NV Energy Integrated Resource Plan page","https://www.nvenergy.com/integrated-resource-plan","NV Energy","Utility planning","2026-09-15","Load growth, reliability, large project context","","Checked"
S-010,"TMRPA Energy and Data Centers","https://tmrpa.org/energy-and-data-centers/","Truckee Meadows Regional Planning Agency","Regional planning","2026-09-15","Land-use compatibility, regional review, power infrastructure themes","","Checked"
S-011,"TMRPA Data Center Engagement","https://www.tmrpa.org/data-center-engagement/","Truckee Meadows Regional Planning Agency","Regional engagement","2026-09-15","Stakeholder process, public comments, timeline","","Checked"
S-012,"NV Energy GreenEnergy Rider Open Season","https://www.nvenergy.com/cleanenergy/ngr-open-season","NV Energy","Utility program","2026-09-15","Clean-energy procurement options and 1 MW new-resource threshold","","Checked"
S-013,"DRI Data Center Water and Electricity Consumption in Nevada","https://www.dri.edu/datacenters/","Desert Research Institute","Research report page","2026-09-15","Water and electricity demand context for Nevada data centers","","Checked"
S-014,"LoopNet property page for 3705 Barron Way","https://www.loopnet.com/property/3705-barron-way-reno-nv-89511/32031-16435227/","LoopNet","Third-party property listing","2026-09-15","Supplemental property/site-character facts only","","Supplemental"
S-015,"Reno Planning Commission Jan. 15, 2025 agenda packet: Oppidan 5MW Data Center and Keystone Data Center","https://reno.primegov.com/Portal/Meeting?meetingTemplateId=6832","City of Reno / PrimeGov","Official agenda and packet","2026-09-15","Comparable data-center CUP staff findings, conditions, utility/noise/site-design analysis, and public comments","sources/primegov-2025-01-15/","Verified"
S-016,"Reno City Council Feb. 26, 2025 data-center discussion packet","https://reno.primegov.com/Portal/Meeting?meetingTemplateId=6878","City of Reno / PrimeGov","Official agenda and packet","2026-09-15","Council-facing policy questions, MW/water comparisons, and data-center standards discussion","sources/primegov-2025-02-26/","Verified"
S-017,"Reno data-center public-comment packets, Jan. 15 and Feb. 26, 2025","https://reno.primegov.com/public/portal","City of Reno / PrimeGov","Official public-comment attachments","2026-09-15","Community concerns around water, power, noise, generators, heat, tax economics, low job density, and trust","sources/primegov-2025-01-15/; sources/primegov-2025-02-26/","Verified"
