target_id,priority,meeting_date,body,decision_or_topic,project_or_policy,known_video_url,known_agenda_or_packet_url,relevant_agenda_item,why_transcribe,expected_context_to_extract,status
JV-VID-001,1,2025-07-17,City Council,Reported denial,FC Pallets / MA21108 pallet yard legalization and expansion,https://jurupavalleyca.new.swagit.com/videos/350142,https://jurupavalleyca.new.swagit.com/videos/350142,15.G,"Closest IOS-like denial; need Council reasoning, staff findings, applicant response, public opposition, fire/safety/ROW issues, and vote rationale","Why M-H rezoning + CUP + VAR + SDP was insufficient; capital/compliance issues; Council comments; motion/vote",Ready for transcript extraction
JV-VID-002,1,2026-02-19,City Council,Denial resolution,I-15 RV and Self-Storage Project / MA20269,https://jurupavalleyca.new.swagit.com/videos/375852,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02192026-926?html=true,"Resolution of denial for I-15 Self Storage Project","Best 2026 storage denial; need reasons for denial after Feb. 5 approval package","Findings, Council rationale, public comments, staff/applicant framing, whether denial was consent or discussed",Video URL known; item timestamp to extract
JV-VID-003,1,2026-02-05,City Council,Initial approval package / public hearing,I-15 RV and Self-Storage Project / MA20269,TBD from Swagit archive,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02052026-918?html=true,Public hearing MA20269,"Need contrast between approval package and later denial","Staff recommendation, applicant pitch, Council concerns, continuance/decision logic, capital/site conditions",Find Swagit video URL and item timestamp
JV-VID-004,1,2026-08-06,City Council,First reading / code pathway,Bus Dispatch Facility / MA25123 / ZCA25006,TBD from Swagit archive,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_08062026-964?html=true,Public hearing ZCA25006 / Ordinance 2026-08,"Need Council thinking on allowing private bus dispatch in M-SC with CUP and standards","Why M-SC needed amendment, standards debated, expected impacts, public comments, Council comfort level",Find Swagit video URL and item timestamp
JV-VID-005,1,2026-08-06,City Council,Freight policy funding,Citywide Freight Analysis Plan and Mobility Element Update,TBD from Swagit archive,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_08062026-964?html=true,Consent / consultant agreement amendment,"Freight plan may shape future truck-route/offsite capital requirements","Council/staff rationale for freight work, truck-route implications, mobility constraints",Find Swagit video URL; likely consent item may have no discussion
JV-VID-006,2,2021-12-02,City Council,Final policy action,ZCA21007 Truck Intensive Use Ordinance,TBD from Swagit archive,https://www.jurupavalley.org/CivicSend/ViewMessage/message/159310,TBD,"Core regime-break decision; need Council rationale and adopted policy logic","Why truck-intensive uses removed from I-P/M-SC/M-M; why M-H + CUP retained; stakeholder concerns; vote",Find archive video/agenda and transcript
JV-VID-007,2,2021-10-07,City Council / Planning Commission study session,Policy study session,Truck Intensive Use Ordinance / study areas,TBD from Swagit archive,https://www.jurupavalley.org/CivicSend/ViewMessage/message/153778,TBD,"Need early Council/PC thought process before final ordinance","Stakeholder concerns, use definitions, affected zones, expected capital/compatibility burdens",Find archive video/agenda and transcript
JV-VID-008,2,2021-01-21,City Council,Moratorium initiation,Truck Intensive Uses Ordinance and moratorium,TBD from Swagit archive,https://www.jurupavalley.org/CivicSend/ViewMessage/message/153778,TBD,"Need origin story for Council skepticism toward truck-intensive uses","Air quality, congestion, streets, residential impacts, staff direction, moratorium rationale",Find archive video/agenda and transcript
JV-VID-009,2,2024-01-18,City Council,Final approval,Rubidoux Commerce Park,TBD from Swagit archive,https://ceqanet.lci.ca.gov/2020110449/6,TBD,"Best Council-level large-logistics approval; need what Council required/accepted","EIR/SOC/DA reasoning, mitigation, public benefits, truck concerns, conditions, vote rationale",Find archive video/agenda and transcript
JV-VID-010,2,2021-07-15,City Council,Approval,Aqua Mansa Road Development Project,TBD from Swagit archive,https://ceqanet.lci.ca.gov/2020010137/6,TBD,"Mid-large industrial approval with GPA/CZ/DA/EIR; need approval logic","Why DA/EIR/SOC were acceptable, mitigation burden, offsite/site obligations, Council concerns",Find archive video/agenda and transcript
JV-VID-011,3,2023-09-21,City Council,Specific plan approval,The District at Jurupa Valley Specific Plan,TBD from Swagit archive,https://ceqanet.lci.ca.gov/2022040044/5,TBD,"Warehouse/logistics in plan-level approval; lower priority unless parcel resembles master-plan context","Plan-level mitigation, logistics overlay, infrastructure/phasing, Council conditions",Find archive video/agenda and transcript
JV-VID-012,3,2024-09-05,City Council,Specific plan approval,Rio Vista Specific Plan,TBD from Swagit archive,https://ceqanet.lci.ca.gov/2018121005/4,TBD,"Plan-level industrial capacity; useful for capital burden but less IOS-specific","Infrastructure, DA terms, phasing, industrial/business park discussion",Find archive video/agenda and transcript
