case_id,meeting_date,case_name,council_summary,underwriting_summary,capital_readiness,official_minutes_url,official_agenda_url,official_packet_url,video_url,summary_url,transcript_url,augmentation_note
JV008,2021-01-21,Truck-intensive use initiation,"Minutes state staff cited truck-intensive entitlement applications affecting traffic congestion, air quality, infrastructure, and residential communities; Council adopted Urgency Ordinance No. 2021-05.","Origin of the restrictive regime. Sites relying on legacy permissiveness or informal truck operations should be underwritten as policy-risk assets.","Code/zoning/General Plan analysis, public opposition risk, and truck-impact standards before site hard costs.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_01212021-328,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_01212021-328,,https://jurupavalleyca.new.swagit.com/videos/111956,video_transcripts/summaries/JV008_truck_initiation_summary.md,video_transcripts/transcripts/JV008_truck_intensive_use_initiation_2021-01-21_raw_transcript.txt,Official minutes extracted cleanly and supplement transcript.
JV007,2021-10-07,Truck-intensive use study session,"Minutes identify the joint study session and staff presentation; transcript fills in the Council/PC discussion of affected zones, sensitive uses, and truck impacts.","The restriction was deliberate, not accidental. Light-industrial IOS claims face a hard policy backdrop.","Neighborhood compatibility, air/noise, street wear, routing, screening, and enforceable operations evidence.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_10072021-399,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_10072021-399,,https://jurupavalleyca.new.swagit.com/videos/141320,video_transcripts/summaries/JV007_truck_study_session_summary.md,video_transcripts/transcripts/JV007_truck_intensive_use_study_session_2021-10-07_raw_transcript.txt,Official minutes extracted cleanly and supplement transcript.
JV006,2021-12-02,Truck-intensive use ordinance final,"Minutes state the ordinance would only allow truck-intensive uses in M-H and remove them from M-SC, M-M, and I-P; Council introduced Ordinance No. 2021-29 and extended the moratorium by Urgency Ordinance No. 2021-30.","Core policy precedent: non-M-H IOS/truck storage is not ordinary light-industrial optionality.","Non-M-H parcels need entitlement repositioning; M-H parcels still need CUP findings, truck-impact analysis, circulation, buffering, and compatibility evidence.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_12022021-413,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_12022021-413,,https://jurupavalleyca.new.swagit.com/videos/148916,video_transcripts/summaries/JV006_truck_ordinance_final_summary.md,video_transcripts/transcripts/JV006_truck_intensive_use_ordinance_final_2021-12-02_raw_transcript.txt,Official minutes extracted cleanly and are high-signal.
JV010,2022-01-20,Aqua Mansa Commerce Park,"Minutes show Council annexed the Aqua Mansa Commerce Park territory into the landscape and lighting district with all assessment ballots in favor; this supplements CEQA/agenda evidence for the larger industrial approval path.","Useful as post-approval burden evidence: major industrial projects keep generating public-improvement, district, maintenance, and assessment steps after land-use approval.","LMD/CFD/assessment work, infrastructure maintenance, drainage, landscaping, and public-agency agreements can affect basis after entitlement.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_01202022-422,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_01202022-422,,https://jurupavalleyca.new.swagit.com/videos/153257,video_transcripts/summaries/JV010_agua_mansa_summary.md,video_transcripts/transcripts/JV010_agua_mansa_commerce_park_2022-01-20_raw_transcript.txt,Minutes capture follow-on district/assessment action rather than original entitlement merits.
JV011,2023-09-21,The District at Jurupa Valley,"Minutes show the DA was pulled from consent for discussion, Council considered community-benefit modifications, and then adopted Ordinance No. 2023-14 approving DA No. 21010.","Large logistics/specific-plan optionality is feasible only through negotiated, public-facing approval packages.","DA negotiation, community benefits, public infrastructure, CFDs/financing districts, phasing, and mitigation.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_09212023-638,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_09212023-638,,https://jurupavalleyca.new.swagit.com/videos/272306,video_transcripts/summaries/JV011_district_summary.md,video_transcripts/transcripts/JV011_the_district_at_jurupa_valley_2023-09-21_raw_transcript.txt,Official minutes extracted cleanly and supplement transcript.
JV009,2024-01-18,Rubidoux Commerce Park,"Minutes fill the transcript gap: Council adopted second readings for Ordinance No. 2024-01 approving CZ 21003 and Ordinance No. 2024-02 approving DA 19001 for the 1.18M sf five-building industrial park.","Approval precedent supports logistics feasibility only where the sponsor funds a full legislative/discretionary package.","EIR/CEQA findings, zone change, development agreement, parcel/site approvals, public improvements, drainage, utilities, circulation, and mitigation.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_01182024-692,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_01182024-692,,https://jurupavalleyca.new.swagit.com/videos/295268,video_transcripts/summaries/JV009_rubidoux_summary.md,video_transcripts/transcripts/JV009_rubidoux_commerce_park_2024-01-18_raw_transcript.txt,Transcript chapter is noisy; official minutes are primary for this row.
JV012,2024-09-05,Rio Vista Specific Plan,"Minutes show Council certified the EIR, adopted findings, a statement of overriding considerations, and an MMRP, then approved GPA/SP/TTMs with 1.27M sf light industrial and 1.43M sf business park capacity; warehouse distribution/logistics were reported as prohibited.","Industrial capacity can be approved, but Rio Vista is a plan-level precedent, not a simple IOS conversion precedent.","Specific plan, DA, EIR/MMRP/SOC, public-benefit payments, open-space/cultural-resource commitments, CFDs, park timing, public infrastructure, and phasing.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_09052024-766,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_09052024-766,,https://jurupavalleyca.new.swagit.com/videos/314328,video_transcripts/summaries/JV012_rio_vista_summary.md,video_transcripts/transcripts/JV012_rio_vista_specific_plan_2024-09-05_raw_transcript.txt,Official minutes extracted cleanly and improve the broad/noisy transcript.
JV001,2025-07-17,FC Pallets,"Official minutes link exists but text extraction is poor; transcript supplies the decision context and indicates Council denial after concerns over fire/code history, residential proximity, ROW impacts, and findings.","Strong IOS-like denial precedent. Even M-H rezoning plus CUP/variance/SDP was not enough where the operational/compliance record was weak.","GPA/CZ/CUP/variance/SDP plus fire access, water/hydrants, paving, stormwater, screening, circulation, ROW cleanup, and code-compliance remediation.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_07172025-854,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_07172025-854?html=true,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_07172025-854?packet=true,https://jurupavalleyca.new.swagit.com/videos/350142,video_transcripts/summaries/JV001_fc_pallets_summary.md,video_transcripts/transcripts/JV001_fc_pallets_2025-07-17_raw_transcript.txt,Official minutes PDF is image-heavy; transcript and packet are primary.
JV003,2026-02-05,I-15 RV/self-storage hearing,"Feb. 5 agenda/packet framed a full approval package; minutes link exists but text extraction is poor, so transcript carries most rationale.","Entitlement spend did not de-risk the use. Treat RV/self-storage as weak IOS-adjacent optionality without very strong site-specific findings.","GPA, CZ, TPM, CUP, SDP, MND, access road/frontage work, fire access, drainage/flood grading, fencing, landscaping, and conservation/open-space obligations.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_02052026-918,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02052026-918?html=true,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02052026-918?packet=true,https://jurupavalleyca.new.swagit.com/videos/374360,video_transcripts/summaries/JV003_i15_hearing_summary.md,video_transcripts/transcripts/JV003_i_15_rv_self_storage_hearing_2026-02-05_raw_transcript.txt,Official minutes PDF is image-heavy; transcript and packet are primary.
JV002,2026-02-19,I-15 RV/self-storage denial,"Feb. 19 agenda/minutes link shows the denial-resolution meeting; minutes are image-heavy and the transcript is consent-calendar level.","Final denial confirms the heavy Feb. 5 package did not survive Council action.","Prior entitlement costs did not unlock the use; preserve denial risk in underwriting even after staff packet work.",https://www.jurupavalley.org/AgendaCenter/ViewFile/Minutes/_02192026-926,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02192026-926?html=true,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02192026-926?packet=true,https://jurupavalleyca.new.swagit.com/videos/375852,video_transcripts/summaries/JV002_i15_denial_summary.md,video_transcripts/transcripts/JV002_i_15_rv_self_storage_denial_2026-02-19_raw_transcript.txt,Official minutes PDF is image-heavy; use packet plus Feb. 5 transcript for rationale.
