name,role,organization,jurisdiction_or_case,player_type,evidence_based_signal,source_url,confidence
Marty Clark,Chairman,Jackson County Board of Commissioners,Unincorporated Jackson County,Current decision-maker,At-large chair of the legislative body for county zoning; former Planning Commission chair,https://jacksoncountygov.com/373/Board-of-Commissioners,High
Jim Hix,Commissioner District 1,Jackson County Board of Commissioners,Unincorporated Jackson County,Current decision-maker,Member of county legislative body; seconded Wayne Poultry industrial map-amendment approvals in 2022,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_02212022-465,High
Chas Hardy,Commissioner District 2,Jackson County Board of Commissioners,Unincorporated Jackson County,Current decision-maker,Member of county legislative body,https://jacksoncountygov.com/373/Board-of-Commissioners,High
Ty Clack,Commissioner District 3,Jackson County Board of Commissioners,Unincorporated Jackson County,Current decision-maker,Member of county legislative body,https://jacksoncountygov.com/373/Board-of-Commissioners,High
Marty Seagraves,Commissioner District 4,Jackson County Board of Commissioners,Unincorporated Jackson County,Current decision-maker,Member of county legislative body; official biography emphasizes rural heritage,https://jacksoncountygov.com/378/Commissioner-District-4,High
Cole Elrod,Commissioner District 5,Jackson County Board of Commissioners,Unincorporated Jackson County,Current decision-maker,Member of county legislative body,https://jacksoncountygov.com/373/Board-of-Commissioners,High
Jamie Dove,Planning and Zoning contact / public development leader,Jackson County,Unincorporated Jackson County,Staff gatekeeper,Presented 2022 Wayne Poultry cases and is county planning contact,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_02212022-465,High
Steve Wittry,President and CEO,Jackson County Area Chamber / historical Planning Commission participant,Countywide,Economic development stakeholder,Named as Planning Commission chair in the 2022 Wayne Poultry hearing record and leads the Chamber,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/ArchivedAgenda/_02242022-253?packet=true,High
Stanton Porter,Zoning counsel,Law Offices of Stell Smith and Mattison,Wayne Poultry Road case,Applicant-side counsel,Represented Hardie Real Estate Group in the 141-acre industrial FLUM amendment cases,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/ArchivedAgenda/_02242022-253?packet=true,High
Hardie Real Estate Group LLC,Applicant / owner,Hardie Real Estate Group,Wayne Poultry Road case,Applicant-side principal,Applicant for four approved 2022 Industrial FLUM map amendments totaling 141.21 acres,https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_02212022-465,High
Pattillo Industrial Real Estate,Developer,Pattillo,Project Orchid / McClure Industrial Park,Developer,Filed DRI application for 504000-SF metal manufacturing plant in McClure Industrial Park,http://www.bisnow.com/news/atlanta/industrial/pattillo-aiming-for-metal-manufacturing-plant-in-jackson-county-133702,Medium
Ben Stafford,Vice President,Pattillo Industrial Real Estate,Project Orchid / McClure Industrial Park,Developer representative,Quoted by press as Pattillo VP in connection with Project Orchid,http://www.bisnow.com/news/atlanta/industrial/pattillo-aiming-for-metal-manufacturing-plant-in-jackson-county-133702,Medium
Brian Brumfield,Applicant representative,Eberly and Associates,Rush Truck Centers condition modification,Applicant-side consultant,Named as applicant representative for the truck-service LI condition modification,https://www.jeffersonga.gov/CivicAlerts.aspx?AID=77,High
Rush Truck Centers of Georgia Inc.,Applicant,Rush Truck Centers,Jefferson I-85 / Hog Mountain Road,End user / applicant,Applicant for conditional LI modification and truck-service use,https://www.jeffersonga.gov/CivicAlerts.aspx?AID=77,High
JM Business Park IV LLC,Property owner,JM Business Park IV LLC,Jefferson I-85 / Hog Mountain Road,Landowner,Named property owner for Rush Truck Centers application,https://www.jeffersonga.gov/CivicAlerts.aspx?AID=77,High
RaceTrac Inc.,Developer / operator,RaceTrac,Jefferson I-85 node,End user / applicant,Applicant proposing travel-center diesel expansion near I-85,https://negrc.org/uploads/sites/4/2025/04/DRI4420.RacetracExtendedDieselOffer.Jefferson.FinalReport.pdf,High
Dawn Maddox,Mayor,City of Jefferson,Jefferson,Current decision-maker,Mayor in Jefferson council-manager government,https://www.jeffersonga.gov/286/City-Council,High
Steve Kinney,Mayor Pro Tempore / District 1 Councilmember,City of Jefferson,Jefferson,Current decision-maker,City Council member,https://www.jeffersonga.gov/286/City-Council,High
Annette Studivant,District 2 Councilmember,City of Jefferson,Jefferson,Current decision-maker,City Council member,https://www.jeffersonga.gov/286/City-Council,High
Cody Cain,District 3 Councilmember,City of Jefferson,Jefferson,Current decision-maker,City Council member,https://www.jeffersonga.gov/286/City-Council,High
Mark Mobley,District 4 Councilmember,City of Jefferson,Jefferson,Current decision-maker,City Council member,https://www.jeffersonga.gov/286/City-Council,High
Alex Crawford,District 5 Councilmember,City of Jefferson,Jefferson,Current decision-maker,City Council member,https://www.jeffersonga.gov/286/City-Council,High
Rob Alexander,City Attorney,Davidson Hopkins and Alexander,Jefferson,Public counsel,Listed official City Attorney,https://www.jeffersonga.gov/m/directory,High
Priscilla Murphy,City Manager,City of Jefferson,Jefferson,Senior staff,Listed official City Manager,https://www.jeffersonga.gov/m/directory,High
Trammell Crow Company,Developer,Trammell Crow Company,Jackson 85 North,Developer,Developer of completed Pendergrass Class-A warehouse park,http://www.trammellcrow.com/projects/jackson-85-north,High
CBRE Investment Management,Capital partner,CBRE Investment Management,Jackson 85 North,Capital partner,Joint venture partner reported for Jackson 85 North phase one,https://rebusinessonline.com/category/georgia/page/29/,Medium
Evans,General contractor,Evans General Contractors,Jackson 85 North phase two,General contractor,Reported design-build general contractor for phase two,https://rebusinessonline.com/category/georgia/page/29/,Medium
Stephanie Harris,Senior Development Manager,Trammell Crow Company,Jackson 85 North,Developer representative,Listed project contact,https://www.trammellcrow.com/projects/jackson-85-north,High
Drew Fredrick,Executive Vice President,Trammell Crow Company,Jackson 85 North,Developer representative,Listed project contact,https://www.trammellcrow.com/projects/jackson-85-north,High
Tyler Cooksey,Senior Vice President,Trammell Crow Company,Jackson 85 North,Developer representative,Listed project contact,https://www.trammellcrow.com/projects/jackson-85-north,High
Bill Ellis,Mayor,City of Pendergrass,Pendergrass,Current decision-maker,Mayor in strong-mayor government,https://cityofpendergrass.net/mayor-and-council/,High
Gabriel Gomez,Mayor Pro Tem / Councilmember,City of Pendergrass,Pendergrass,Current decision-maker,Current councilmember and Mayor Pro Tem,https://cityofpendergrass.net/mayor-and-council/,High
Laura Bigley,Councilmember,City of Pendergrass,Pendergrass,Current decision-maker,Current councilmember,https://cityofpendergrass.net/mayor-and-council/,High
Bob Carter,Councilmember,City of Pendergrass,Pendergrass,Current decision-maker,Current councilmember,https://cityofpendergrass.net/mayor-and-council/,High
Sylvia Basak,Councilmember,City of Pendergrass,Pendergrass,Current decision-maker,Current councilmember,https://cityofpendergrass.net/mayor-and-council/,High
Dr. J. Clark Hill III,Mayor,City of Commerce,Commerce,Current decision-maker,Mayor and chief executive officer,https://www.commercega.gov/government/elected-officials,High
Keith Burchett,Mayor Pro Tem,City of Commerce,Commerce,Current decision-maker,Mayor Pro Tem,https://www.commercega.gov/government/elected-officials,High
Matthew Hailey,City Manager,City of Commerce,Commerce,Senior staff,Listed official City Manager,https://commercega.gov/government,High
Leland Smith,Planning and Zoning Administrator,City of Commerce,Taylor & Mathis Commerce case,Staff gatekeeper,Presented annexation rezoning and conditional use to Planning Commission and City Council,https://commercega.granicus.com/MinutesViewer.php?view_id=1&clip_id=409&doc_id=7aa825a7-6685-11f0-b7f5-005056a89546,High
