case_id,case_name,meeting_date,outcome_signal,transcript_status,summary_path,underwriting_read,capital_readiness_implication,evidence_note
JV001,FC Pallets,2025-07-17,Denied 4-0,Full item transcript,video_transcripts/summaries/JV001_fc_pallets_summary.md,"Strong denial precedent for IOS-like outdoor industrial legalization even with M-H rezoning/CUP/variance/SDP package.","Budget for GPA/CZ/CUP/variance/SDP plus cleanup, fire-code work, stacking/separation, utilities, ROW controls, and applicant credibility repair.","Pipeline transcript plus earlier manual FC Pallets summary and decision-context CSV."
JV002,I-15 RV Self Storage Denial,2026-02-19,Denial resolution on consent,Consent-calendar clip only,video_transcripts/summaries/JV002_i15_denial_summary.md,"The denial appears procedurally final rather than a fresh merits debate; read together with the Feb. 5 hearing.","Capital already spent on the Feb. 5 GPA/CZ/TPM/CUP/SDP/MND package did not protect the project from final denial.","Swagit index has no dedicated project chapter on Feb. 19; transcript is consent-calendar level."
JV003,I-15 RV Self Storage Hearing,2026-02-05,Full public hearing before later denial,Full item transcript,video_transcripts/summaries/JV003_i15_hearing_summary.md,"Storage/RV use required a heavy discretionary package and extensive site engineering; even a detailed staff package did not result in durable approval.","Access road widening, 68th Street frontage, fire access/pump-house response, fencing, landscaping, drainage/flood grading, MND responses, conservation/open-space obligations.","Useful denial-path context; final denial occurred Feb. 19."
JV004,Bus Dispatch Facility,2026-08-06,Narrow code-amendment path,Full item transcript but short discussion,video_transcripts/summaries/JV004_bus_dispatch_summary.md,"Bus dispatch shows Council may consider narrow fleet-use pathways in M-SC only through explicit code amendment plus CUP/development standards.","Two-step burden: code amendment first, then site CUP with fleet count, parking, circulation, noise/idling, screening, and operating standards.","Short transcript because item moved quickly."
JV005,Freight Analysis Plan,2026-08-06,Policy funding/consent context,Consent-calendar clip only,video_transcripts/summaries/JV005_freight_plan_summary.md,"Freight planning is a forward-looking risk factor for truck-intensive uses rather than a site entitlement precedent.","Future projects may face truck-route, frontage, offsite circulation, VMT/freight, or mobility-element requirements.","Swagit index does not expose a dedicated freight item; consent clip is limited."
JV006,Truck Intensive Use Ordinance Final,2021-12-02,Restrictive ordinance first reading / moratorium extension,Full item transcript,video_transcripts/summaries/JV006_truck_ordinance_final_summary.md,"Core policy precedent: truck-intensive uses were intentionally narrowed to M-H with CUP, while M-SC/M-M/I-P became weak IOS bets.","Non-M-H IOS requires legislative repositioning before site work; M-H still requires CUP and standards proving compatibility and operational controls.","High-signal transcript with staff explanation and stakeholder pushback."
JV007,Truck Intensive Use Study Session,2021-10-07,Policy formation,Full item transcript,video_transcripts/summaries/JV007_truck_study_session_summary.md,"Study session shows the ordinance was not accidental; Council/PC were reacting to truck traffic, residential conflicts, blight, and code-enforcement limits.","Applicants must assume Council will ask how truck uses affect neighborhoods, roads, air/noise, and scattered small-parcel industrial areas.","High-signal transcript for intent behind the 2021 ordinance."
JV008,Truck Intensive Use Initiation,2021-01-21,Moratorium/initiation,Full item transcript,video_transcripts/summaries/JV008_truck_initiation_summary.md,"Origin story for the city’s skepticism: Council initiated zoning/General Plan work to control excessive truck traffic near residential areas.","Creates early-warning risk for any site relying on legacy permissiveness or informal truck operations.","High-signal transcript for why the moratorium was started."
JV009,Rubidoux Commerce Park,2024-01-18,Transcript target not clean,Transcript captured broad public hearing but likely wrong subitem,video_transcripts/summaries/JV009_rubidoux_summary.md,"Use existing CEQA/agenda evidence for Rubidoux; current transcript chapter does not cleanly isolate the logistics approval.","Do not rely on this transcript for detailed Rubidoux conclusions until item-level video or minutes are isolated.","Swagit chapter was generic Public Hearing and captured another commercial/CUP sequence; flagged for follow-up."
JV010,Agua Mansa Commerce Park,2022-01-20,Short approval context,Full item transcript but short discussion,video_transcripts/summaries/JV010_agua_mansa_summary.md,"Approval signal is much thinner in transcript; useful mainly as evidence that large industrial actions can pass when staff package is complete.","Likely entitlement burden still includes CEQA, site plan, mapping, infrastructure, and conditions, but transcript discussion was limited.","Meeting/date corrected to Jan. 20, 2022 archive record."
JV011,The District at Jurupa Valley,2023-09-21,Specific-plan approval context,Full item transcript,video_transcripts/summaries/JV011_district_summary.md,"Plan-level approvals are different from simple IOS conversion; they rely on master planning, infrastructure, phasing, and environmental review.","Supports heavy-lift thesis: specific plan/EIR/mitigation framework rather than small-site CUP optionality.","Moderate-confidence transcript; shorter than Rio Vista."
JV012,Rio Vista Specific Plan,2024-09-05,Specific-plan/EIR/DA approval context,Broad public-hearings transcript,video_transcripts/summaries/JV012_rio_vista_summary.md,"Best proof that approvals can happen, but only through a very heavy plan-level path with EIR, statement of overriding considerations, MMRP, DA, benefits, and infrastructure.","Development agreement benefits, CFDs, utility/street improvements, open space, cool pavement/landscaping, mitigation, findings, and public-benefit commitments affect basis.","Swagit grouped a long public-hearings chapter; transcript is useful but noisy."
