speaker_or_body,date,position,legal_weight,source_id
DeKalb Board of Commissioners,2026-06-09,Extended data-center moratorium through September 30 2026,adopted action,S04
DeKalb Board of Commissioners,2026-06-23,Denied proposed permanent data-center text amendment,final action on proposal,S05
DeKalb Planning and Sustainability staff,2026-06-23,Supported substitute with definition SLUP review buffers and infrastructure disclosure,staff proposal denied by BOC,S26
Public hearing speakers,2026-06-23,Opposed proposed text with concerns about neighborhood siting water power and review time,public comments not county findings,S26
Commissioners Massiah and Bolton,2026-06-23,Argued definition and SLUP review could expose and permit rejection of projects,individual commissioner views not enacted law,S26
Commissioner Terry,2026-06-23,Argued for further study and a longer moratorium,individual commissioner view not enacted law,S26
Planning and Sustainability Department,2025-11-06,Supported a defined data-center framework addressing compatibility noise water and energy,staff position not adopted,S06
Planning Commission,2025-11-06,Approved proposed data-center text amendment,advisory vote not law,S06
Planning Commission,2026-07-07,Recommended denial of PCC-DeKalb SLUP in different Tier 5 residential setting,advisory case vote,S09
DeKalb Planning and Sustainability staff,2026-08-13,Found PCC-DeKalb utility-structure label did not encompass planned data-center campus and cited Tier 5 compatibility and SLUP criteria,staff position in separate case,S27
PCC-DeKalb applicant,2026-08-13,Requested at least 60-day deferral to assess evolving draft rules,applicant request not granted,S27
Neighborhood and other public speakers,2026-08-13,Asked for denial of PCC-DeKalb citing residential compatibility and quality of life,public comments not county findings,S27
DeKalb Board of Commissioners,2026-08-13,Motion to deny PCC-DeKalb SLUP carried in recorded hearing,recorded BOC vote; final written docket field unpopulated,S27
DeKalb Board of Commissioners,2024-08-27,Approved EV charging ordinance substitute five to zero,adopted action,S07
