finding_id,topic,finding,confidence,source_ids
F-001,Parcel,"3705 Barron Way is PIN/APN 164-352-27 in Reno, Washoe County.",High,"S-001"
F-002,Zoning,"Reno GIS identifies the parcel as Industrial Commercial (IC), 5.630983 acres, with Airport Noise Exposure overlay.",High,"S-001"
F-003,Master Plan,"Reno Master Plan land-use GIS identifies the parcel as Mixed-Employment (ME).",High,"S-002"
F-004,Ward,"Reno ward GIS places the parcel in Ward Six, represented by Brandi Anderson.",High,"S-003"
F-005,Moratorium,"Reno states that all new data centers require CUP approval and that data-center CUP applications are not being accepted during the moratorium through August 31, 2027 or until adequate regulations are adopted.",High,"S-004"
F-006,Use Classification,"A modular compute facility that houses servers or data-processing equipment has material risk of being classified as a data center, regardless of modular packaging.",Analyst inference,"S-004; S-005"
F-007,Meeting Intelligence,"No site-specific public meeting record was located for 3705 Barron Way, Barron Way modular compute/data center, or PIN 164-352-27; broader Reno data-center meeting and policy records exist.",Medium-high,"S-006; S-007; S-008"
F-008,Power,"NV Energy planning materials and TMRPA materials make power availability, customer cost allocation, and clean-energy sourcing central approval issues for data-center-like uses.",High,"S-009; S-010; S-011"
F-009,Noise Water,"TMRPA flags continuous operation, lighting, security, and equipment noise as compatibility issues and notes industrial/commercial areas are more compatible than residential areas.",High,"S-010"
F-010,Filing Posture,"The easiest path is classification verification now, power/noise/water proof during the moratorium, and a post-moratorium CUP if the use is classified as data center.",Analyst recommendation,"S-004; S-005; S-010"
F-011,Comparable CUP Conditions,"The January 15, 2025 Oppidan and Keystone staff packets show Reno staff made data-center CUP support depend on acoustic studies/barriers, generator-use limits, truck-hour and idling restrictions, screening, low-flow fixtures, NV Energy will-serve evidence, and permit-stage utility review.",High,"S-015"
F-012,Planning Politics,"The February 26, 2025 City Council data-center discussion presented data centers as a broader standards question involving noise, building design, screening, lighting, distance from residents, water, and power; the presentation compared local projects from 7 MW to 28.5 MW against larger regional loads.",High,"S-016"
F-013,Investor Strategy,"Reno's record suggests Barron should not be sold as a generic industrial reuse. The strongest investor strategy is a small phase-one entitlement with explicit MW cap, no-water-cooling commitment, customer-funded utility story, acoustic controls, generator limits, and expansion trigger.",Analyst recommendation,"S-015; S-016; S-010"
F-014,Power Packet Posture,"Recommended packet posture is a 1-2 MW phase-one cap, with 3 MW studied as a utility sensitivity and 5 MW+ avoided as a headline request. No site-specific NV Energy feedback has been obtained for 3705 Barron Way; request service screening for 1 MW, 2 MW, and 3 MW before making public power-capacity claims.",Analyst recommendation,"S-015; S-016; S-009; S-012"
