body_or_office,role,source_id
DeKalb Planning and Sustainability Director,Overlay table use classification and administrative review,S02
DeKalb Board of Commissioners,Special land use permits and countywide zoning text actions,S02
DeKalb Planning Commission,Advisory zoning review,S06
DeKalb Permits Plan Review and Inspections,Development and building permit review,S13
Electric service provider,Site-specific service and availability determination,S12
Juliana Njoku - Planning and Sustainability Director,Department leadership; public zoning office contact is plansustain@dekalbcountyga.gov,S20
Whitney Fuller - Zoning Administrator,Current Planning and zoning administration; public email wfuller@dekalbcountyga.gov,S21
Nicole Massiah - District 3 Commissioner,Board representative for district; no site-specific position documented,S22
Ted Terry - Super District 6 Commissioner,Board representative for super district; no site-specific position documented,S23
Vivian Moore - Planning Commission District 3,Advisory zoning review; contact through Planning office,S24
