Name,Role,Organization,Jurisdiction or case,Player type,Evidence-based signal,Confidence,Source
Oliver McClellan,Mayor,City of Flowery Branch,Flowery Branch,Current decision-maker,Current mayor listed with 2026 City Council records,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
Chris Mundy,Councilmember,City of Flowery Branch,Flowery Branch,Current decision-maker,Current council roster; voted yes on Vulcan first reading in 2021,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
Joseph Mezzanotte,Councilmember,City of Flowery Branch,Flowery Branch,Current decision-maker,Current council roster,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
Charles Vanderbilt,Councilmember,City of Flowery Branch,Flowery Branch,Current decision-maker,Current council roster,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
Pete Lena,Councilmember,City of Flowery Branch,Flowery Branch,Current decision-maker,Current council roster,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
William McDaniel,Councilmember,City of Flowery Branch,Flowery Branch,Current decision-maker,Current council roster,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
Tonya Parrish,City Manager,City of Flowery Branch,Flowery Branch,Senior staff,Chief administrative staff listed in current City records,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
Chris McCrary,Planning and Community Development Director,City of Flowery Branch,Flowery Branch,Staff gatekeeper,Planning director listed in current City records,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
Ted Baggett,City Attorney,City of Flowery Branch,Flowery Branch,Public counsel,City attorney listed in current City records,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
Peter Woerner,Public Utilities Director,City of Flowery Branch,Flowery Branch,Utility stakeholder,Public utilities director listed in current City records,Medium,https://mytown.theboringparts.com/city/flowerybranchga/
David Gibbs,Commission Chairman,Hall County Board of Commissioners,Hall County,County decision-maker,Current board chairman,High,https://www.hallcounty.org/Directory.aspx?DID=93
Kathy Cooper,District 1 Commissioner,Hall County Board of Commissioners,Hall County,County decision-maker,Current board roster,High,https://www.hallcounty.org/Directory.aspx?DID=93
