"ledger_id","market","case","meeting_date","meeting_body","agenda_or_case_reference","original_zoning_or_context","recording_status","recording_url","minutes_or_agenda_url","targeted_transcript_status","priority","notes","local_recording_path","local_source_packet_path","local_evidence_extract_path"
"FB-001","Flowery Branch","Vulcan Lands quarry","2021-08-05","Flowery Branch City Council","Public hearing","Hall County AR III proposed to City M-2 plus CUP","Public video retained - downloaded","https://flowerybranchga.granicus.com/MediaPlayer.php?view_id=2&clip_id=191","https://flowerybranchga.granicus.com/MinutesViewer.php?view_id=2&clip_id=191&doc_id=97433319-f158-436f-9b35-6ef0aba5a257","Blocked - downloaded MP4 audio effectively silent","1","Initial public hearing; identify applicant presentation and public objections; downloaded MP4 audio track is effectively silent and not transcript-ready","recordings/FB-001_2021-08-05_Flowery-Branch_City-Council_Vulcan-public-hearing.mp4","",""
"FB-002","Flowery Branch","Vulcan Lands quarry","2021-09-16","Flowery Branch City Council","First reading Ordinances 654 and 655","Hall County AR III proposed to City M-2 plus CUP","Public video retained - downloaded","https://flowerybranchga.granicus.com/MediaPlayer.php?view_id=2&clip_id=194","https://flowerybranchga.granicus.com/MinutesViewer.php?view_id=2&clip_id=194&doc_id=e40a2aa6-5a5e-4b11-b343-d2cade1fd265","Blocked - downloaded MP4 audio effectively silent","1","First reading passed 3-1; capture motion second and rationale; downloaded MP4 audio track is effectively silent and not transcript-ready","recordings/FB-002_2021-09-16_Flowery-Branch_City-Council_Vulcan-first-reading.mp4","",""
"FB-003","Flowery Branch","Vulcan Lands quarry","2021-10-07","Flowery Branch City Council","Quarry discussion / staff update","Hall County AR III proposed to City M-2 plus CUP","Public video retained - downloaded","https://flowerybranchga.granicus.com/MediaPlayer.php?view_id=2&clip_id=195","https://flowerybranchga.granicus.com/MinutesViewer.php?view_id=2&clip_id=195&doc_id=a4d598d9-7b03-4f6b-b0f8-57d9beb92395","Blocked - downloaded MP4 audio effectively silent","1","Target creek tree disturbance curb breaks and traffic projection discussion; downloaded MP4 audio track is effectively silent and not transcript-ready","recordings/FB-003_2021-10-07_Flowery-Branch_City-Council_Vulcan-discussion.mp4","",""
"FB-004","Flowery Branch","Vulcan Lands quarry","2021-10-21","Flowery Branch City Council","Second reading Ordinances 654 and 655 / Resolution 21-014","Hall County AR III to Flowery Branch M-2 plus CUP","Public video retained - downloaded; official packet extracted","https://flowerybranchga.granicus.com/MediaPlayer.php?view_id=2&clip_id=199","https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=199","Packet-led extraction; audio effectively silent","1","Final local approval verified from official packet: annexation, M-2 rezoning, CUP, and quarry conditions are included; downloaded MP4 audio remains effectively silent","recordings/FB-004_2021-10-21_Flowery-Branch_City-Council_Vulcan-second-reading.mp4","source-packets/flowery-branch/packets/flowerybranch_2021-10-21_clip-199_packet.pdf","source-packets/flowery-branch/extracted_text/flowerybranch_2021-10-21_clip-199_packet.txt"
"FB-005","Flowery Branch","4272 Thurmon Tanner","2025-01-16","Flowery Branch City Council","Annexation from County LI to City M-1 plus CUP","Hall County Light Industrial","Public video retained - downloaded","https://flowerybranchga.granicus.com/MediaPlayer.php?view_id=2&clip_id=471","https://flowerybranchga.granicus.com/MinutesViewer.php?view_id=2&clip_id=471&doc_id=a45bb905-a151-4a68-b96d-4be801abf2c9","Transcribed - OpenAI Whisper tiny.en first pass","2","Target annexation rationale landscaping and adjacent-noise conditions; Whisper transcript saved locally","recordings/FB-005_2025-01-16_Flowery-Branch_City-Council_4272-Thurmon-Tanner.mp4","",""
"FB-006","Flowery Branch","Exit 12 warehouse / Hines Acquisitions","2021-11-04","Flowery Branch City Council","Ordinance 652 HB-to-M-1 rezoning","HB Highway Business to M-1 Light Industrial for 37.8-acre portion of parcel 08097 000008","Public video retained - downloaded; official packet extracted","https://flowerybranchga.granicus.com/MediaPlayer.php?view_id=2&clip_id=200","https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=200","Packet-led extraction; audio effectively silent","1","Official packet verifies Hines Acquisitions request, staff Industrial Employment character-area recommendation, Ordinance 652, conditions, and transportation/development-agreement signal; downloaded MP4 audio remains effectively silent","recordings/FB-006_2021-11-04_Flowery-Branch_City-Council_Exit-12-warehouse-indexing.mp4","source-packets/flowery-branch/packets/flowerybranch_2021-11-04_clip-200_packet.pdf","source-packets/flowery-branch/extracted_text/flowerybranch_2021-11-04_clip-200_packet.txt"
"FB-007","Flowery Branch","Alliance 985 Business Park","2024-2026","Flowery Branch and/or Hall County/Oakwood","Local entitlement file to identify","Original zoning to confirm","Flowery Branch archive indexed and no matching case found","","https://flowerybranchga.granicus.com/ViewPublisher.php?view_id=2","Public-record gap remains","3","Land transaction, APN listings, and construction reporting do not establish meeting body or entitlement path; likely needs Oakwood/Hall official case or permit source, short of open records","","source-packets/flowery-branch/flowerybranch_granicus_archive_index.html",""
"FB-008","Flowery Branch","Project Falcon / Falcon Parkway Industrial Park","2020-12-17 to 2021-02-18","Flowery Branch City Council","Ordinances 20-621 and 20-622; LDP status report","A Agricultural to M-1 Light Industrial for portions of parcels 08070 001002 and 08073 000004A","Official packets extracted","","https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=176","Packet-led extraction","1","Flowery Branch portion verified: first-reading votes, staff reports, ordinance text, and LDP status found. Multi-jurisdiction sewer/DOT/full-phase approvals remain open across Flowery Branch/Oakwood/Gainesville.","","source-packets/flowery-branch/packets/flowerybranch_2021-01-21_clip-176_packet.pdf; source-packets/flowery-branch/packets/flowerybranch_2021-02-18_clip-178_packet.pdf","source-packets/flowery-branch/extracted_text/flowerybranch_2021-01-21_clip-176_packet.txt; source-packets/flowery-branch/extracted_text/flowerybranch_2021-02-18_clip-178_packet.txt"
"FB-009","Flowery Branch","Flowery Branch Business Center / Pattillo","2021-02-18","Flowery Branch City Council","Planning report LDP status","Historic zoning to confirm","Official packet extracted","","https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=178","Packet-led extraction","2","Feb. 18 2021 planning report lists Patillo Project - Warehouse on Thurmon Tanner as approved for LDP but not started; zoning/conditions/building permit remain open","","source-packets/flowery-branch/packets/flowerybranch_2021-02-18_clip-178_packet.pdf","source-packets/flowery-branch/extracted_text/flowerybranch_2021-02-18_clip-178_packet.txt"
"FB-010","Flowery Branch","4627 Atlanta Highway Business Park / South Hall Business Park","2025-01-16 to 2025-02-06","Flowery Branch City Council","Ordinance 724 variance request","Existing M-1 Manufacturing & Industrial Light","Official packets extracted","","https://flowerybranchga.granicus.com/MinutesViewer.php?view_id=2&clip_id=472&doc_id=aef1743c-266f-4d2c-86bf-cc25906edeaf","Packet-led extraction","2","New local industrial comp found during hardening: four office/warehouse buildings totaling 41,450 SF on parcel 08092 000008; second-reading variance approval unanimous on Feb. 6 2025","","source-packets/flowery-branch/packets/flowerybranch_2025-01-16_clip-471_packet.pdf; source-packets/flowery-branch/packets/flowerybranch_2025-02-06_clip-472_packet.pdf","source-packets/flowery-branch/extracted_text/flowerybranch_2025-01-16_clip-471_packet.txt; source-packets/flowery-branch/extracted_text/flowerybranch_2025-02-06_clip-472_packet.txt"
