Source ID,Type,Publisher,Supports,Reliability note,URL
S01,Official zoning code,City of Flowery Branch,M-1 and M-2 purpose and use framework,Primary legal source current through Ordinance 779 enacted April 2 2026,https://library.municode.com/ga/flowery_branch/codes/code_of_ordinances?nodeId=APXCZOOR_ART9NOZODI
S02,Official comprehensive plan,Georgia DCA / City of Flowery Branch,I-985 industrial employment and business-park vision,Primary planning source,https://dca.georgia.gov/document/plans/plan-update-2021-2/download
S03,Official DRI program,Georgia Mountains Regional Commission,Regional review path and advisory nature,Primary regional source,https://www.gmrc.ga.gov/dri
S04,State DRI guidance,Georgia DCA,DRI process and local final authority,Primary state guidance,https://dca.georgia.gov/developments-regional-impact-dri-faqs
S05,State DRI rules,Georgia Secretary of State,DRI thresholds,Primary rules source,https://rules.sos.ga.gov/gac/110-12-3
S06,Official annual financial report,Hall County,Active industrial sponsors and incentive authority,Primary government and economic-development source,https://www.hallcounty.org/DocumentCenter/View/16821/2025-Annual-Comprehensive-Financial-Report
S07,Official meeting archive,City of Flowery Branch / Granicus,Public agenda/minute packet universe used for hardening,Primary archive index downloaded locally,https://flowerybranchga.granicus.com/ViewPublisher.php?view_id=2
S08,Official agenda/minute packet,City of Flowery Branch,Project Falcon Ordinances 20-621 and 20-622 first-reading vote,Primary local entitlement record,https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=176
S09,Official agenda packet,City of Flowery Branch,Project Falcon staff report and ordinance text,Primary local entitlement packet,https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=175
S10,Official agenda packet,City of Flowery Branch,Feb. 18 2021 planning report: Pattillo LDP approval and Project Falcon LDP status,Primary local status record,https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=178
S11,Official agenda/minute packet,City of Flowery Branch,Exit 12 / Hines Ordinance 652 and HB-to-M-1 staff report,Primary local entitlement record,https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=200
S12,Official agenda/minute packet,City of Flowery Branch,Vulcan final annexation/M-2/CUP packet and conditions,Primary local entitlement record,https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=199
S13,Official minutes,City of Flowery Branch,4272 Thurmon Tanner and 4627 Atlanta Highway Feb. 6 2025 second-reading votes,Primary outcome record,https://flowerybranchga.granicus.com/MinutesViewer.php?view_id=2&clip_id=472&doc_id=aef1743c-266f-4d2c-86bf-cc25906edeaf
S14,Official minutes/agenda packet,City of Flowery Branch,4272 Thurmon Tanner and 4627 Atlanta Highway Jan. 16 2025 first-reading/staff packet,Primary local entitlement packet,https://flowerybranchga.granicus.com/AgendaViewer.php?view_id=2&clip_id=471
S15,Official GIS page,Hall County,Public GIS/qPublic scope: parcels zoning utilities future land use,Primary current government source; permit/CO copies still require open records,https://www.hallcounty.org/652/County-Service-Maps
S16,Official building inspections page,Hall County,Commercial permits require LDP before building permit; permit/CO copies require open records,Primary current government process source,https://www.hallcounty.org/207/Building-Inspections
S17,ArcGIS public item,Hall County GIS Viewer,Public viewer configuration and zoning/parcels service inventory,Primary public GIS configuration,https://experience.arcgis.com/experience/07c9cfa0f6a94be0b7a24ad4e0b084fa/
S18,Primary developer release,Hines,Thurmon Tanner Logistics construction scope and 2022 start,Primary developer source,https://www.hines.com/news/hines-starts-construction-on-thurmon-tanner-logistics
S19,Primary developer release,Hines,2024 Thurmon Tanner Logistics leasing and sale activity,Primary developer source,https://www.hines.com/news/hines-announces-over-200-000-square-feet-in-new-leasing-and-sales-activity-at-thurmon-tanner-logistics-near-atlanta
S20,Industry transaction report,REBusinessOnline,Alliance 985 buyer scope broker team and early-2026 delivery forecast,Credible trade publication; verify entitlement separately,https://rebusinessonline.com/avison-young-arranges-sale-of-66-8-acres-near-new-northeast-georgia-inland-port/
S21,Market report,Cushman and Wakefield,Alliance 985 Building 200 under-construction signal in Q4 2025,Secondary market source,https://assets.cushmanwakefield.com/-/media/cw/marketbeat-pdfs/2025/q4/us-reports/industrial/atlanta_americas_marketbeat_industrial_q42025.pdf?rev=3fb13476c97f4d109899c81769a078dc
S22,Contractor case study,Reeves + Young,Project Falcon construction scope and multi-city sewer constraints,Primary contractor source,https://www.reevesyoung.com/case-study/project-falcon/
S23,Developer property page,Pattillo Industrial Real Estate,Flowery Branch BTS site scale and pad-ready status,Primary developer marketing source,https://www.pattillore.com/propertyposts/flowery-branch-non-park/
S24,Local reporting republished,Yahoo / Gainesville Times,Pattillo grading date scale and Ben Stafford quote,Secondary reporting,https://www.yahoo.com/news/whats-grading-off-thurmon-tanner-194800309.html
S25,Listing database,CommercialCafe,2026 Pattillo vacant-land / pad-ready status,Secondary market listing,https://www.commercialcafe.com/commercial-property/us/ga/flowery-branch/4641-thurmon-tanner-parkway/
S26,Listing database,PropertyShark,2026 Pattillo vacant-land / pad-ready status,Secondary market listing,https://www.propertyshark.com/cre/commercial-property/us/ga/flowery-branch/4641-thurmon-tanner-parkway/
S27,Listing database,Showcase,Alliance 985 APN and under-construction listing signal,Secondary market listing,https://www.showcase.com/
S28,Listing database,LoopNet,Historic parcel zoning/site-plan marketing signal for 3619 Atlanta Hwy / APN 15-00044-00-018F,Secondary listing; historical and not official entitlement record,https://www.loopnet.com/
S29,Official Hall roster,Hall County,Current BOC roster,Primary current government source,https://www.hallcounty.org/Directory.aspx?DID=93
S30,Official staff announcement,Hall County,Katie Greenway Ahmed planning director appointment,Primary government source,https://www.hallcounty.org/m/newsflash/home/detail/1484
S31,Official staff announcement,Hall County,Kristie Turner Development Services appointment,Primary government source,https://www.hallcounty.org/m/newsflash/home/detail/1392
S32,Economic development program,Greater Hall Chamber,Nikki Chandler and industry contact role,Primary organization source,https://www.ghcc.com/economic-development/existing-industry-program/
