case_id,case_name,jurisdiction,original_zoning_verified,flum_character_verified,local_staff_report_found,planning_commission_action_found,boc_city_final_action_found,ordinance_conditions_found,current_development_status_verified,current_best_status,evidence_closing_note,next_gap_to_close
JC-2026-ORCHID,Project Orchid / McClure Industrial Park,City of Jefferson,Yes,Partial,Yes,Packet found / recommendation pending,No,Conditions proposed / final ordinance open,Partial,Jefferson PC staff packet found / final action open,"June 1 2026 Jefferson PC packet verifies R-26-J03 LI condition modification, CU-26-J02 metal manufacturing, V-26-J06 parking variance, DRI #4640, 157.99 acres, LI-conditional baseline, staff support for condition changes and variance, and official water-use correction remains relevant.","Pull later Jefferson Council packet/minutes and final ordinance/conditions."
JC-2026-CHOICE,Choice Equipment Company - Airport Road,Jackson County,Yes at DRI level,Yes at DRI level,No,No,No,No,Partial,DRI complete / county action open,"DRI verifies A-2 to GI plus Character Area to Urban and FLUM to Industrial.","Pull 2026 county Planning Commission and BOC staff reports/minutes."
JC-2025-RUSH,Rush Truck Centers,City of Jefferson,Yes,Partial,Yes,Yes at packet level,No,Proposed ordinance conditions found,No,Council voting packet found / final motion still open,"Nov. 24 2025 Jefferson Council voting packet verifies R-25-J05/CU-25-J06, staff and Planning Commission approval recommendations, draft ordinance R-25-J05, 79,279-SF/13%-coverage cap, stormwater prerequisite, and two Hog Mountain curb cuts.","Pull signed ordinance or minutes motion/vote before coding final approval."
JC-2025-RACETRAC,RaceTrac Extended Diesel Offer,City of Jefferson,Partial,Partial,No,No,No,No,Partial,DRI complete / permit action open,"DRI verifies permit-triggered expansion scope and I-85/Hog Mountain location.","Pull Jefferson permit/local action record and conditions."
JC-2024-J85N,Jackson 85 North Business Park,City of Pendergrass,No,No,No,No,No,No,Yes,Delivered phase-one market signal,"Developer/market sources verify delivery and scale but not entitlement chain.","Pull Pendergrass annexation/zoning/site-plan records."
JC-2024-PENDERGRASS-ASSEMBLAGE,Pendergrass Assemblage,City of Pendergrass / unincorporated,Yes at DRI level,Partial,No,No,No,No,Partial,Non-industrial DRI context,"DRI verifies A-2 to R-1 residential annexation intent; retained only as Pendergrass growth context.","Decide whether to keep in industrial universe or move to context appendix."
JC-2024-HWY124,Hwy 124 / Maddox Road trucking drop lot,Jackson County,Yes at DRI level,Yes at DRI level,No,No,No,No,Partial,Adverse DRI signal / local action open,"DRI verifies A-2 to HRC request and Residential FLUM conflict.","Pull county action and applicant details."
JC-2024-QUARRY,East Jackson Quarry,Jackson County,Partial,Yes at DRI level,No,No,No,No,Partial,Adverse DRI signal / local action open,"DRI verifies Agricultural/Conservation/Suburban plan conflicts and environmental overlays.","Pull county case file and final decision."
JC-2024-COMMERCE-TAYLOR,Taylor & Mathis Commerce distribution center / truck terminal,City of Commerce,Yes,Yes,Yes,Yes,Yes,Yes,No,Final local approval verified,"Commerce Planning Commission Oct. 28 2024 minutes verify staff recommendation, public hearing, unanimous recommendation, and conditions. Commerce City Council Nov. 18 2024 minutes verify unanimous approvals for PAX24-0004 annexation, PR24-0013 rezoning from A-2/C-2 to M-1, and PC24-0004 conditional use for Distribution Center with Truck Terminals & Warehouse/Storage Building.","Current construction/buildout, permits, CO, and any DRI or utility agreements remain open."
JC-2023-PETERBILT,7-Eleven / Peterbilt dealership,Jackson County,Partial,Partial,No,No,No,No,Partial,DRI complete / local action open,"DRI verifies HRC and truck-stop special-use request, scope, and Axis Hutton as developer.","Pull county minutes/conditions and original zoning."
JC-2022-JACKSONFARMS,Jackson Farms Industrial Park,City of Pendergrass,Partial,Partial,No,No,No,No,Partial,DRI complete / Pendergrass action open,"DRI verifies scale and county comment that annexation had not yet occurred at DRI stage.","Pull Pendergrass annexation/rezoning/conditions and buildout evidence."
JC-2022-HOGMOUNTAIN,Hog Mountain Site,City of Jefferson,Yes at DRI level,Yes at DRI level,No,No,No,No,Partial,DRI complete / Jefferson action open,"DRI verifies A-2/LI unincorporated baseline, annexation request, Jefferson LI logic, traffic and utility constraints.","Pull Jefferson final action, variances, and current construction status."
JC-2022-VALENTINE-DRI,Valentine Business Center,Jackson County,Yes,Yes at DRI level,Yes,Yes,Yes,Yes,Partial,Final local approval verified,"July 18 2022 BOC minutes verify RZ-22-0122 and RZ-22-0123 A-2 to GI approvals 3-0 with two conditions: Bill Wright Road upgrade/realignment approval by the Road Department and adherence to all stream/zoning buffers.","Confirm current buildout and later permit/site-plan status."
JC-2022-TOMWHITE,Tom White Road / East Group office-distribution business park,Jackson County,Yes,Partial,Yes,Yes,Yes,Yes,Partial,Final local approval verified,"May 16 2022 BOC minutes verify related RZ-22-0116 and RZ-22-0117 A-2 to LI approvals 4-0 with road-upgrade and buffer conditions across 41.67 acres.","Confirm current buildout."
JC-2022-JACKSONQUARRY,Jackson Quarry / Vulcan expansion,Jackson County,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Final local approval verified,"April 18 2022 BOC minutes verify split 3-2 approvals and eight conditions after PC denial/staff approval with conditions.","Confirm current operating status and any post-approval permits."
JC-2022-WAYNE,Hardie Wayne Poultry Road,Jackson County,Yes,Yes,Yes,Yes,Yes,No,Partial,FLUM approval verified / rezoning open,"Feb. 21 2022 BOC minutes verify four map amendments approved 4-0; packet verifies A-2 and Urban/Commercial-to-Industrial context.","Find follow-on rezoning/LDP/buildout records."
JC-2022-WHOVILLE,Whoville Partners Old State Road,Jackson County,Yes,Yes,Yes,Yes,Yes,No,No,Withdrawn without prejudice,"March 21 2022 BOC minutes verify staff/PC denial and unanimous 5-0 acceptance of the applicant's withdrawal without prejudice.","Search later refiling only if the site reappears in current pipeline."
JC-2022-INGRAM,Ingram Lord Ila Road,Jackson County,Yes,Partial,Yes,Yes,Yes,Yes,Partial,Final local approval verified,"Feb. 21 2022 BOC minutes verify A-2 to GI approval 4-0 with two conditions.","Confirm current parcel/building status if needed."
JC-2021-CONCORD,Concord Road Light Industrial,City of Jefferson,Yes,Yes,Yes,Yes,Packet / draft ordinance found,Proposed ordinance conditions found,Partial,Official local packet found / signed final vote still open,"Jefferson IQM2 records verify PC 6-0 recommendation with staff conditions plus cemetery condition, R-21-J02 C-2 to LI staff report, V-21-J06 stream-buffer reduction report, and ordinance attachments for both cases in the City Council packet.","Pull signed ordinance or final minutes motion/vote before coding final approval as fully verified."
JC-2021-FORTUNE,Project Fortune,City of Pendergrass,Partial,Partial,No,No,No,No,Partial,DRI complete / Pendergrass action open,"DRI verifies very large warehouse proposal and lack-of-site-plan limitation.","Pull Pendergrass action, applicant, site plan, and current status."
