record_id,date,source_layer,council_role,project_or_policy,applicant_or_group,use_bucket,zone_or_mh_issue,entitlements_or_action,outcome,decision_signal,feasibility_read,source_url,confidence,remaining_gap
JVCC-001,2021-01-21,City update / Council direction,City Council initiated policy response,Truck Intensive Uses Ordinance and moratorium,City of Jurupa Valley,Truck-intensive / IOS policy,"Existing zoning and General Plan did not adequately address truck traffic impacts",Initiated ZCA and adopted moratorium on new or expanded truck-intensive uses,"Moratorium / policy process initiated","Council concern centered on air quality, congestion, street infrastructure, and residential-neighborhood impacts","Council was already skeptical of generic truck-intensive expansion by early 2021","https://www.jurupavalley.org/CivicSend/ViewMessage/message/153778",High,"Pull Jan. 21 2021 Council agenda/minutes and ordinance."
JVCC-002,2021-02-11,City update / enforcement context,Code enforcement context,Unpermitted pallet yards,Not captured,Pallet yards / IOS-like outdoor storage,Not captured,Code enforcement update,"10 unpermitted pallet yards identified in the City","Enforcement focus on pallet yards lacking proper permits or approval","Shows pallet yards were a known unpermitted IOS-like problem before the truck-intensive ordinance was finalized","https://www.jurupavalley.org/CivicSend/ViewMessage/message/135305",Medium,"Identify each pallet yard, owner/applicant, subsequent CUP/code-enforcement outcome."
JVCC-003,2021-07-15,CEQAnet / Council NOD,City Council approval,Aqua Mansa Road Development Project,Not captured,Industrial warehouse / logistics,"Needed GPA/CZ/DA rather than simple industrial approval",GPA18001 / SDP18048 / VAR18005 / CZ20004 / DA18001 / EIR / MMRP / SOC,"Approved","Council adopted GPA, SDP, variance, zone change, development agreement and EIR-related findings","Large industrial approval was feasible but required heavy discretionary Council action and CEQA override package","https://ceqanet.lci.ca.gov/2020010137/6",High,"Pull Council staff report, vote, DA terms, and conditions."
JVCC-004,2021-10-07,City update / study session,Joint Council/PC study session,Truck Intensive Use Ordinance,City of Jurupa Valley,Truck-intensive / IOS policy,"Phase 1: locate where truck-intensive uses allowed; Phase 2: land-use changes in study areas",Study session / stakeholder feedback,"Policy refinement before public hearings","City described two-phase approach to reduce impacts on residential and sensitive uses","Council did not treat truck storage as ordinary industrial; it treated it as a citywide policy problem","https://www.jurupavalley.org/CivicSend/ViewMessage/message/153778",High,"Pull study-session packet and public comments."
JVCC-005,2021-10-27,City update / PC recommendation,Planning Commission recommendation to Council,ZCA21007 Truck Intensive Use Ordinance,City of Jurupa Valley,Truck-intensive / IOS policy,"M-H becomes truck-intensive location; I-P/M-SC/M-M lose truck-intensive uses",Zoning Code Amendment,"PC unanimously recommended Council adoption","Recommended prohibiting truck-intensive uses in all other industrial zones and eliminating truck/trailer storage yards and truck stop/travel centers as allowed uses","Pre-Council signal was strongly restrictive; M-H + CUP was the narrowed route","https://www.jurupavalley.org/CivicSend/ViewMessage/message/156330",High,"Pull PC packet/minutes and exact recommended use table."
JVCC-006,2021-12-02,City update / Council action,City Council final action,ZCA21007 Truck Intensive Use Ordinance,City of Jurupa Valley,Truck-intensive / IOS policy,"Truck-intensive uses only in M-H with CUP; removed from I-P, M-SC, M-M",ZCA21007 / moratorium extension / study-area GPA initiation,"Approved","Council approved ZCA21007 and extended moratorium for one year","This is the controlling Council-level baseline: IOS/truck storage value outside M-H is deeply impaired","https://www.jurupavalley.org/CivicSend/ViewMessage/message/159310",High,"Pull Ordinance 2021-29 and current codified permitted-use table."
JVCC-007,2022-03-18,City update / enforcement context,Code enforcement context,Unpermitted pallet yard fire,Not captured,Pallet yard / outdoor storage,"Unpermitted land use violations",Code enforcement after fire,"Enforcement ongoing","Four parcels involved in pallet yard fire; Code Enforcement working with owner to remove debris, trash and unpermitted land-use violations","Fire/safety risk is a central Council-era reason pallet/IOS uses are not casually approvable","https://www.jurupavalley.org/CivicSend/ViewMessage/message/166265",Medium,"Identify parcels and any later CUP/legalization attempt."
JVCC-008,2023-09-21,CEQAnet / Council NOD,City Council approval,The District at Jurupa Valley Specific Plan,Not captured,Specific plan with warehouse/logistics capacity,"Warehouse/logistics allowed in overlay within specific plan, not generic IOS",Specific Plan / EIR / MMRP / SOC / findings,"Approved","Specific plan approved with EIR and Statement of Overriding Considerations","Warehouse/logistics can win at Council when embedded in a master-plan/EIR structure","https://ceqanet.lci.ca.gov/2022040044/5",High,"Pull DA21001/specific plan and Council vote."
JVCC-009,2024-01-18,CEQAnet / Council NOD,City Council final approval,Rubidoux Commerce Park,Proficiency Rubidoux LLC,Warehouse / distribution / logistics,"Vacant land with M-M/M-SC and Light Industrial GP; needed CZ/DA/TPM/SDP",CZ21003 / DA19001 / TPM37677 / SDP19008 / EIR / MMRP / SOC,"Approved","Council certified EIR Dec. 21 2023; adopted second-reading CZ and DA ordinances Jan. 18 2024","Best Council-level proof that logistics approval requires full discretionary lift","https://ceqanet.lci.ca.gov/2020110449/6",High,"Pull Council minutes, DA terms, conditions and vote."
JVCC-010,2024-09-05,CEQAnet / Council NOD,City Council approval,Rio Vista Specific Plan,Not captured,Specific plan with light industrial/business park,"Plan-level industrial/business park capacity",Specific Plan / DA / EIR / MMRP / SOC / findings,"Approved","Council approved new 917.3-acre specific plan with 1.27M sf light industrial and 1.43M sf business park capacity","Industrial feasibility exists where Council is approving a broad plan-level framework, not one-off IOS","https://ceqanet.lci.ca.gov/2018121005/4",High,"Pull DA25002 and industrial use standards."
